abil_skill_summonvoidcrystal_name	無の水晶召喚
skill_expmon_healovertime_name	自動回復
skill_expmon_holystorm_name	聖なる嵐
skill_expmon_icepotion_name	フロストポーション
skill_expmon_megabolt_name	ギガボルト
skill_expmon_mudfighter_name	泥ファイター
skill_expmon_multibite_name	バイトストーム
skill_expmon_passive_dodge25	巧みな回避
skill_expmon_passive_dodge25_name	回避率上昇
skill_expmon_passivescare_name	怖い顔
skill_expmon_resilient_name	ねばり腰
skill_expmon_slimehex_name	メガヘクス
skill_expmon_staffcharge_name	棒の制裁
skill_expmon_stagrush_name	スタグラッシュ
skill_expmon_statusresist50_name	状態異常耐性
skill_expmon_stealandeatfood_name	飲み込み
skill_expmon_stickyshot_name	べとべとショット
skill_expmon_transferhealth_name	ライフ転送
skill_expmon_waterfighter_name	水の戦士
skill_expmon_wingslash_name	羽斬り
skill_noroot_nostun_name	失神耐性
skill_playerglitterskin_desc	^number1^ターンの間、自身と仲間がまばゆい肌で覆われ、近接攻撃者の目をくらませる。
skill_playerglitterskin_edesc	盲目になった敵は^number3^ターンの間、命中率を^number2^失う
skill_playerspinblade_desc	回転して飛んでいく刃を生成し、毎ターン、ダメージを与える。受け流し率が一瞬、上昇する。
skill_playerspinblade_edesc	刃が攻撃力の^number1^の物理ダメージを与える。^number3^ターンの間、受け流し率が^number2^上昇する。
skill_playerspitice_desc	氷のつばを吐き、距離が遠いほど大ダメージを与える。一瞬、自身の精神力が上昇する。
skill_playerspitice_edesc	精神力の^number1^の水ダメージを与える。対象との間のマス1つごとに、^number2^の追加ダメージを与える。^number4^ターンの間、自身の精神力が^number3^上昇する。
skill_summonvoidcrystal_desc	長射程のレーザーを2回放ってから消滅する、固定型の無の水晶を生成する。
skill_summonvoidcrystal_extradesc	威力はプレイヤーのレベルに準ずる。一度に複数の無の水晶を召喚することも可能。
skill_xp_bladefroghop_name	ブレードホップ
tutorial_exp_campfire_text	#cc#シャラの冒険#ec#では、#cc#3フロアごと#ec#に#cy#たき火#ec#が見つかります。たき火のフロアでは回復や、新しい#cc#スキル#ec#の習得、さらに商人から#cy#道具#ec#を買うこともできます。\n\nこの束の間の休息を活用して、冒険のプランを練りましょう！\n\n
tutorial_exp_sharamode_maxcreatures_text	シャラの#cc#^$getstring:sharaabilityname$^#ec#のスキルは、一度に#cy#限られた数#ec#の魔物しか支配できません。すでに、#cy#^$getstring:sharamaxcreatures$^#ec#体の魔物を支配下に置いている場合、それ以上の魔物を魅了することはできません。\n\nしかし、このスキルはストーリーの進行に合わせて#cc#強化されます#ec#！重要なイベントが終わったら、必ずスキルの説明を確認しましょう。\n\n
tutorial_exp_sharamode_part1_text	#cc#シャラの冒険#ec#へようこそ。このゲームモードでは、新しいゲームシステムで新しい視点から、#cg#タングルディープ#ec#の物語をお楽しみいただけます。メインストーリーの#cy#第3のボス#ec#をまだ倒していない方は、先にそちらをクリアしましょう！\n\nこのモードでは#cg#回復の小びん#ec#を使えない代わりに、魔法の泉に触れた瞬間、ライフなどが少し回復します。また、#cy#リヴァーストーン村#ec#を訪れることはできないため、#cy#ポータル#ec#は別の場所へワープする時のみ使用します。\n\nすなわちドリームキャスターや魔法の果樹園、モンスター牧場は一切登場しません...\n
tutorial_exp_sharamode_part2_text	シャラは#cy#経験値#ec#を獲得せず、#cg#JP#ec#を使ってスキルを学ぶこともできません。代わりにスキル画面では、#cg#JP#ec#を使って能力を強化できます。強化コストは毎回上昇していきます。\n\nスキルの習得法は2つ。1つは、#cy#パンドラの箱#ec#を開けて、他のジョブのスキルを学ぶこと。ランダムに出現するスキルの中から、1つのスキルを学ぶことができます。\n\nまた、たき火で休んだ時にも、#cc#シャラ専用#ec#のスキルを1つ習得できます。出現するスキルは#cy#プレイのたびに変化する#ec#ので、慎重に選びましょう。\n\n
tutorial_exp_sharamode_wanderingmon_text	#cy#シャラ#ec#が強くなって存在が知れわたると、#cg#タングルディープ#ec#の魔物たちが襲ってこなくなります。#cy#どのフロア#ec#でも、たくさんの魔物を倒して力を示したあとは、#cr#新しい魔物が出現しなくなります#ec#。\n\n
wanderer_intro_1	#cy#??? 放浪者#ec#: うん、まあそうか。ただ、私は#cc#川#ec#が連れていってくれる場所へ行くだけ...\n\n一方の君は、#cy#我が道を切り開いていく#ec#者に見える。できれば漫然と漂うのではなく、流れに逆らって泳いでいきたい。\n\nちがうかな？\n
wanderer_intro_2	#cy#??? 放浪者#ec#: 私はただの老いぼれだ。ひとつの若木から森が生まれ、立派なジャングルへ成長していく様をこの目で見てきた。君に語るべき物語は山ほどある。この場所だけでなく、#cg#タングルディープの彼方#ec#についても。\n\nだが、君は物語に身を捧げねばならん！\n\n心が旅をすれば、体も旅をできるもの。新しい経験を恐れるな。広い心でぶつかってゆけ。そうすれば、果てしない#cc#発見の海#ec#が君を待っていよう。\n
wanderer_intro_3	#cy#??? 放浪者#ec#: 私は単なる語り部だ、冒険者よ。真に#cy#心を開く#ec#覚悟ができているなら、ひとつ話してやってもよい。\n\nが、少しでも疑念を抱いているなら、#cy#真の没入感#ec#は得られんし、君をこの旅へ誘ってもやれん。\n\n場合によっては#cg#装備も、スキルも、ペットも、アイテム#ec#も、すべて取り上げられてしまうだろう。#cy#我が語りを聞く#ec#準備はよいか？\n
wanderer_intro_4	#cy#??? 放浪者#ec#: おお、戻ったか！我が語りの途中で、#cy#意識をなくしてしまってな#ec#。上質な物語に#cy#のめり込む#ec#と、こうしたことが起きるものだ。\n\n語りを終えられなかったゆえ、次回はまた、最初からやり直しとなるぞ。もちろん、細かい部分は#cy#毎回変わってしまう#ec#ため、何が起きるかは誰にも予想できん。\n\n準備はよいか？\n
wanderer_intro_5	#cy#??? 放浪者#ec#: よかろう！では、「#clr#山頂を目指して#ec#」を語るとしよう。\n\n君が向かうのは、驚異的な旅が始まる場所。#cy#今まで見たことのない#ec#生き物たちが、うごめいている世界だ。そして強風の吹きすさぶ、雄々しき山の頂には、計り知れない価値を持つ#clr#レリック#ec#が眠っている...\n\nそんなところだ。さあ、目を閉じて、#cg#我が言葉に耳を傾けよ#ec#...\n\n
wanderer_intro_response1	釣り人っていうか賢人みたい。
wanderer_intro_response2	タングルディープの先へ行ったの？！他には？
wanderer_intro_response3	待って、他にやることが。
wanderer_intro_response4	準備はできてるわ、聞かせて！
waterdebuff30_name	水脆弱化
xp_obj_staticparalyzer_name	電気エネルギー
exp1_obj_dominator_head_name	トロフィー
